time,volume,outflow_rate,liquid.A,liquid.B,liquid.C,derived.reaction_rate_0,derived.sensor_A,derived.sensor_B,sim_time
0.0,0.9,1.0,8.55,0.45,0.0,5.0,8.580471707975445,0.4500615076678741,0.0
0.1,0.8,1.0,7.220000000000001,0.78,0.0,4.75,7.116001589375951,0.7949372768754235,0.1
0.2,0.7000000000000001,1.0,6.001625000000001,0.998375,0.0,4.5125,6.076670119580647,0.9846681072318891,0.2
0.30000000000000004,0.6000000000000001,1.0,4.887037500000001,1.1129625,0.0,4.286874999999999,4.9810939716391225,1.0684329080621364,0.30000000000000004
0.4,0.5000000000000001,1.0,3.8689046875000006,1.1310953125,0.0,4.07253125,3.673801168634617,1.108361773241414,0.4
0.5,0.40000000000000013,1.0,2.940367562500001,1.0596324375000001,0.0,3.8689046874999997,2.810149611813769,1.010050109750177,0.5
0.6000000000000001,0.30000000000000016,1.0,2.0950118882812507,0.9049881117187502,0.0,3.6754594531249993,2.1077959285979793,0.907995291848622,0.6000000000000001
0.7000000000000001,0.20000000000000015,1.0,1.3268408625781258,0.6731591374218754,0.0,3.4916864804687497,1.2952166033437675,0.740169899699602,0.7000000000000001
0.8,0.10000000000000014,1.0,0.6302494097246102,0.3697505902753911,0.0,3.317102156445312,0.6285692939741813,0.34514026434782463,0.8
0.9,1.3877787807814457e-16,1.0,7.382983113757291e-16,5.384581669432009e-16,0.0,2.7999999999999994,-0.08530439275735728,-0.031023744990996485,0.9
1.0,1e-12,1.0,0.0,-0.9199999999999987,0.0,-5319999999999.992,0.08793979748628286,-0.8955078974907388,1.0
1.1,1e-12,1.0,0.0,91999999999.07988,0.0,0.0,0.07777919354289484,91999999999.09772,1.1
1.2000000000000002,1e-12,1.0,0.0,-9.199999999815989e+21,0.0,0.0,0.006603069756121605,-9.199999999815989e+21,1.2000000000000002
1.3,1e-12,1.0,0.0,9.199999999723989e+32,0.0,0.0,0.11272412069680329,9.199999999723989e+32,1.3
1.4000000000000001,1e-12,1.0,0.0,-9.19999999963199e+43,0.0,0.0,0.046750934225204564,-9.19999999963199e+43,1.4000000000000001
1.5,1e-12,1.0,0.0,9.199999999539991e+54,0.0,0.0,-0.08592924628832382,9.199999999539991e+54,1.5
1.6,1e-12,1.0,0.0,-9.199999999447991e+65,0.0,0.0,0.036875078408249884,-9.199999999447991e+65,1.6
1.7000000000000002,1e-12,1.0,0.0,9.199999999355992e+76,0.0,0.0,-0.0958882600828999,9.199999999355992e+76,1.7000000000000002
1.8,1e-12,1.0,0.0,-9.199999999263992e+87,0.0,0.0,0.08784503013072725,-9.199999999263992e+87,1.8
1.9000000000000001,1e-12,1.0,0.0,9.199999999171993e+98,0.0,0.0,-0.00499259109862529,9.199999999171993e+98,1.9000000000000001
2.0,1e-12,1.0,0.0,-9.199999999079994e+109,0.0,0.0,-0.018486236354526057,-9.199999999079994e+109,2.0
2.1,1e-12,1.0,0.0,9.199999998987995e+120,0.0,0.0,-0.06809295444039414,9.199999998987995e+120,2.1
2.2,1e-12,1.0,0.0,-9.199999998895995e+131,0.0,0.0,0.12225413386740303,-9.199999998895995e+131,2.2
2.3000000000000003,1e-12,1.0,0.0,9.199999998803996e+142,0.0,0.0,-0.015452948206880215,9.199999998803996e+142,2.3000000000000003
2.4000000000000004,1e-12,1.0,0.0,-9.199999998711997e+153,0.0,0.0,-0.042832782216310726,-9.199999998711997e+153,2.4000000000000004
2.5,1e-12,1.0,0.0,9.199999998619998e+164,0.0,0.0,-0.03521335504882296,9.199999998619998e+164,2.5
2.6,1e-12,1.0,0.0,-9.199999998527997e+175,0.0,0.0,0.05323091855533488,-9.199999998527997e+175,2.6
2.7,1e-12,1.0,0.0,9.199999998435999e+186,0.0,0.0,0.036544406436407835,9.199999998435999e+186,2.7
2.8000000000000003,1e-12,1.0,0.0,-9.199999998344001e+197,0.0,0.0,0.04127326115959884,-9.199999998344001e+197,2.8000000000000003
2.9000000000000004,1e-12,1.0,0.0,9.199999998252001e+208,0.0,0.0,0.043082100300788274,9.199999998252001e+208,2.9000000000000004
3.0,1e-12,1.0,0.0,-9.199999998160002e+219,0.0,0.0,0.21416476008704613,-9.199999998160002e+219,3.0
3.1,1e-12,1.0,0.0,9.199999998068002e+230,0.0,0.0,-0.04064150163846156,9.199999998068002e+230,3.1
3.2,1e-12,1.0,0.0,-9.199999997976003e+241,0.0,0.0,-0.051224272907153735,-9.199999997976003e+241,3.2
3.3000000000000003,1e-12,1.0,0.0,9.199999997884004e+252,0.0,0.0,-0.08137727282478778,9.199999997884004e+252,3.3000000000000003
3.4000000000000004,1e-12,1.0,0.0,-9.199999997792004e+263,0.0,0.0,0.06159794225754957,-9.199999997792004e+263,3.4000000000000004
3.5,1e-12,1.0,0.0,9.199999997700004e+274,0.0,0.0,0.11289722927208917,9.199999997700004e+274,3.5
3.6,1e-12,1.0,0.0,-9.199999997608004e+285,0.0,0.0,-0.011394745765487508,-9.199999997608004e+285,3.6
3.7,1e-12,1.0,0.0,9.199999997516005e+296,0.0,0.0,-0.0840156476962528,9.199999997516005e+296,3.7
3.8000000000000003,1e-12,1.0,0.0,-inf,0.0,0.0,-0.08244812156912396,-inf,3.8000000000000003
3.9000000000000004,1e-12,1.0,0.0,,0.0,0.0,0.06505927878247011,,3.9000000000000004
4.0,1e-12,1.0,0.0,,0.0,0.0,0.07432541712034423,,4.0
4.1000000000000005,1e-12,1.0,0.0,,0.0,0.0,0.0543154268305195,,4.1000000000000005
4.2,1e-12,1.0,0.0,,0.0,0.0,-0.06655097072886944,,4.2
4.3,1e-12,1.0,0.0,,0.0,0.0,0.02321613230667198,,4.3
4.4,1e-12,1.0,0.0,,0.0,0.0,0.011668580914072822,,4.4
4.5,1e-12,1.0,0.0,,0.0,0.0,0.021868859672901295,,4.5
4.6000000000000005,1e-12,1.0,0.0,,0.0,0.0,0.087142877794819,,4.6000000000000005
4.7,1e-12,1.0,0.0,,0.0,0.0,0.022359554877468227,,4.7
4.800000000000001,1e-12,1.0,0.0,,0.0,0.0,0.0678913563071895,,4.800000000000001
4.9,1e-12,1.0,0.0,,0.0,0.0,0.006757906948889146,,4.9
5.0,1e-12,1.0,0.0,,0.0,0.0,0.028911939868998416,,5.0
5.1000000000000005,1e-12,1.0,0.0,,0.0,0.0,0.06312882258385404,,5.1000000000000005
5.2,1e-12,1.0,0.0,,0.0,0.0,-0.14571558198556664,,5.2
5.300000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.031967121635730136,,5.300000000000001
5.4,1e-12,1.0,0.0,,0.0,0.0,-0.04703726542927955,,5.4
5.5,1e-12,1.0,0.0,,0.0,0.0,-0.0638877848243342,,5.5
5.6000000000000005,1e-12,1.0,0.0,,0.0,0.0,-0.027514225122668375,,5.6000000000000005
5.7,1e-12,1.0,0.0,,0.0,0.0,0.1494941311234396,,5.7
5.800000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.08658311156932433,,5.800000000000001
5.9,1e-12,1.0,0.0,,0.0,0.0,0.09682783545914808,,5.9
6.0,1e-12,1.0,0.0,,0.0,0.0,-0.16828697716158048,,6.0
6.1000000000000005,1e-12,1.0,0.0,,0.0,0.0,-0.03348850299857749,,6.1000000000000005
6.2,1e-12,1.0,0.0,,0.0,0.0,0.01627530651050056,,6.2
6.300000000000001,1e-12,1.0,0.0,,0.0,0.0,0.05862223313592782,,6.300000000000001
6.4,1e-12,1.0,0.0,,0.0,0.0,0.0711226579792855,,6.4
6.5,1e-12,1.0,0.0,,0.0,0.0,0.07933472351999253,,6.5
6.6000000000000005,1e-12,1.0,0.0,,0.0,0.0,-0.03487250722484376,,6.6000000000000005
6.7,1e-12,1.0,0.0,,0.0,0.0,-0.04623517926645672,,6.7
6.800000000000001,1e-12,1.0,0.0,,0.0,0.0,0.08579758812571539,,6.800000000000001
6.9,1e-12,1.0,0.0,,0.0,0.0,-0.01913043248816149,,6.9
7.0,1e-12,1.0,0.0,,0.0,0.0,-0.1275686323337922,,7.0
7.1000000000000005,1e-12,1.0,0.0,,0.0,0.0,-0.11332872140034807,,7.1000000000000005
7.2,1e-12,1.0,0.0,,0.0,0.0,-0.09194522860016113,,7.2
7.300000000000001,1e-12,1.0,0.0,,0.0,0.0,0.049716074405376405,,7.300000000000001
7.4,1e-12,1.0,0.0,,0.0,0.0,0.014242573607056525,,7.4
7.5,1e-12,1.0,0.0,,0.0,0.0,0.06904853540677683,,7.5
7.6000000000000005,1e-12,1.0,0.0,,0.0,0.0,-0.04272526463365343,,7.6000000000000005
7.7,1e-12,1.0,0.0,,0.0,0.0,0.015853969107671423,,7.7
7.800000000000001,1e-12,1.0,0.0,,0.0,0.0,0.06255903939673367,,7.800000000000001
7.9,1e-12,1.0,0.0,,0.0,0.0,-0.030934653972023843,,7.9
8.0,1e-12,1.0,0.0,,0.0,0.0,0.04567752375574115,,8.0
8.1,1e-12,1.0,0.0,,0.0,0.0,-0.06619259410666513,,8.1
8.200000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.03630538465650718,,8.200000000000001
8.3,1e-12,1.0,0.0,,0.0,0.0,-0.03817378939983291,,8.3
8.4,1e-12,1.0,0.0,,0.0,0.0,-0.11958396455890397,,8.4
8.5,1e-12,1.0,0.0,,0.0,0.0,0.048697248078558186,,8.5
8.6,1e-12,1.0,0.0,,0.0,0.0,-0.04694023402027239,,8.6
8.700000000000001,1e-12,1.0,0.0,,0.0,0.0,0.001249411872768743,,8.700000000000001
8.8,1e-12,1.0,0.0,,0.0,0.0,0.048074665890590895,,8.8
8.9,1e-12,1.0,0.0,,0.0,0.0,0.04465311760299441,,8.9
9.0,1e-12,1.0,0.0,,0.0,0.0,0.06653851089727862,,9.0
9.1,1e-12,1.0,0.0,,0.0,0.0,-0.009848548450942362,,9.1
9.200000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.04232983120441538,,9.200000000000001
9.3,1e-12,1.0,0.0,,0.0,0.0,-0.007971821090639906,,9.3
9.4,1e-12,1.0,0.0,,0.0,0.0,-0.16873344339580298,,9.4
9.5,1e-12,1.0,0.0,,0.0,0.0,-0.14471124724230874,,9.5
9.600000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.13226996123544024,,9.600000000000001
9.700000000000001,1e-12,1.0,0.0,,0.0,0.0,-0.09972468276014818,,9.700000000000001
9.8,1e-12,1.0,0.0,,0.0,0.0,0.039977422672343665,,9.8
9.9,1e-12,1.0,0.0,,0.0,0.0,-0.09054790553600608,,9.9
